rank	feature_id	feature_type	gene_name	product	case_present	case_total	case_frequency	control_present	control_total	control_frequency	enriched_in	beta	odds_ratio	odds_ratio_ci95_lower	odds_ratio_ci95_upper	odds_ratio_ci95	pyseer_pvalue	q_value	priority_score	annotation_source	notes	display_name	display_label	display_product	interpretation_note	annotation_evidence	reference_locus_tag	reference_gene	reference_product	reference_location	reference_match_type	reference_identity	reference_coverage	annotation_confidence	annotation_note	cluster_member_ids
11	group_2392	gene_presence_absence	dnaN	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		dnaN	group_2392 | HMPREF0351_RS00010 | none confidence	DNA polymerase III subunit beta	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=32.35; coverage=1.09	HMPREF0351_RS00010	dnaN	DNA polymerase III subunit beta	1603..2733	nucleotide_similarity	32.35	1.09	none	matched_representative_sequence=group_2392	BFAOAP_01860;BJKGBB_01792;DHOPGE_01826;DNHFDD_02441;GBBODN_01868;HKAALB_01492;IIIHAF_01863;JAOBDG_01651;JHCCBL_01796;KAOGPO_01787;MFDKLE_02470;NBICIC_01584;NHJIOO_01726;NPNGCM_02489;OFKADD_01642;PCBIPO_01833;PDOPEE_01806
12	group_2358	gene_presence_absence	lacI	LacI family transcriptional regulator	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		lacI	group_2358 | HMPREF0351_RS00005 | none confidence	chromosomal replication initiator protein DnaA	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=35.20; coverage=1.18	HMPREF0351_RS00005	dnaA	chromosomal replication initiator protein DnaA	71..1405	nucleotide_similarity	35.20	1.18	none	matched_representative_sequence=group_2358	BFAOAP_02954;BJKGBB_00689;DHOPGE_02908;DNHFDD_01027;GBBODN_02732;HKAALB_01386;IIIHAF_02778;JAOBDG_02685;JHCCBL_02756;KAOGPO_03057;MFDKLE_00889;NBICIC_02697;NHJIOO_02728;NPNGCM_01051;OFKADD_02805;PCBIPO_00774;PDOPEE_02983
13	group_2336	gene_presence_absence	recF	Myo-inositol 2-dehydrogenase/D-chiro-inositol 1-dehydrogenase	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		recF	group_2336 | HMPREF0351_RS00020 | none confidence	DNA replication/repair protein RecF	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=38.59; coverage=0.97	HMPREF0351_RS00020	recF	DNA replication/repair protein RecF	3191..4315	nucleotide_similarity	38.59	0.97	none	matched_representative_sequence=group_2336	BFAOAP_01861;BJKGBB_01791;DHOPGE_01827;DNHFDD_02442;GBBODN_01869;HKAALB_01491;IIIHAF_01864;JAOBDG_01652;JHCCBL_01795;KAOGPO_01786;MFDKLE_02471;NBICIC_01585;NHJIOO_01727;NPNGCM_02490;OFKADD_01641;PCBIPO_01832;PDOPEE_01805
14	group_2304	gene_presence_absence	group_2304	5-dehydro-2-deoxygluconokinase	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		group_2304	group_2304 | HMPREF0351_RS04595 | none confidence	NAD(P)-dependent oxidoreductase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=29.54; coverage=1.64	HMPREF0351_RS04595		NAD(P)-dependent oxidoreductase	942492..943379	nucleotide_similarity	29.54	1.64	none	matched_representative_sequence=group_2304	BFAOAP_02955;BJKGBB_00690;DHOPGE_02907;DNHFDD_01028;GBBODN_02731;HKAALB_01387;IIIHAF_02777;JAOBDG_02686;JHCCBL_02755;KAOGPO_02977;MFDKLE_00888;NBICIC_02696;NHJIOO_02727;NPNGCM_01052;OFKADD_02804;PCBIPO_00775;PDOPEE_02982
15	group_2013	gene_presence_absence	group_2013	Iron-containing alcohol dehydrogenase	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		group_2013	group_2013 | HMPREF0351_RS00065 | none confidence	adenylosuccinate synthase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=33.17; coverage=0.86	HMPREF0351_RS00065		adenylosuccinate synthase	15103..16395	nucleotide_similarity	33.17	0.86	none	matched_representative_sequence=group_2013	BFAOAP_01859;BJKGBB_01793;DHOPGE_01825;DNHFDD_02440;GBBODN_01867;HKAALB_01493;IIIHAF_01862;JAOBDG_01650;JHCCBL_01797;KAOGPO_01788;MFDKLE_02469;NBICIC_01583;NHJIOO_01725;NPNGCM_02488;OFKADD_01643;PCBIPO_01834;PDOPEE_01807
16	yidK	gene_presence_absence	yidK	Putative symporter YidK	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		yidK	yidK | HMPREF0351_RS07790 | none confidence	RDD family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=23.85; coverage=1.13	HMPREF0351_RS07790		RDD family protein	complement(1595717..1596376)	nucleotide_similarity	23.85	1.13	none	matched_representative_sequence=yidK	BFAOAP_01863;BJKGBB_01789;DHOPGE_01829;DNHFDD_02444;GBBODN_01871;HKAALB_01489;IIIHAF_01866;JAOBDG_01654;JHCCBL_01793;KAOGPO_01784;MFDKLE_02473;NBICIC_01587;NHJIOO_01729;NPNGCM_02492;OFKADD_01639;PCBIPO_01830;PDOPEE_01803
17	group_680	gene_presence_absence	group_680	PTS EIIB type-3 domain-containing protein	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		group_680	group_680 | HMPREF0351_RS01545 | none confidence	PTS sugar transporter subunit IIB	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=42.77; coverage=4.76	HMPREF0351_RS01545		PTS sugar transporter subunit IIB	313977..314297	nucleotide_similarity	42.77	4.76	none	matched_representative_sequence=group_680	BFAOAP_01864;BJKGBB_01788;DHOPGE_01830;DNHFDD_02445;GBBODN_01872;HKAALB_01488;IIIHAF_01867;JAOBDG_01655;JHCCBL_01792;KAOGPO_01783;MFDKLE_02474;NBICIC_01588;NHJIOO_01730;NPNGCM_02493;OFKADD_01638;PCBIPO_01829;PDOPEE_01802
18	group_502	gene_presence_absence	group_502	3D-(35/4)-trihydroxycyclohexane-12-dione hydrolase	0	50	0.0000	17	50	0.3400	Controls	-4.54	0.0189533	0.00110195	0.325995	0.001102-0.326	7.38e-08		15.8533	Panaroo/Bakta+GenBank		group_502	group_502 | HMPREF0351_RS00090 | none confidence	ZIP family metal transporter	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=27.12; coverage=0.63	HMPREF0351_RS00090		ZIP family metal transporter	22647..23465	nucleotide_similarity	27.12	0.63	none	matched_representative_sequence=group_502	BFAOAP_02956;BJKGBB_00691;DHOPGE_02906;DNHFDD_01029;GBBODN_02730;HKAALB_01388;IIIHAF_02776;JAOBDG_02687;JHCCBL_02754;KAOGPO_02978;MFDKLE_00887;NBICIC_02695;NHJIOO_02726;NPNGCM_01053;OFKADD_02803;PCBIPO_00776;PDOPEE_02981
19	group_4436	gene_presence_absence	group_4436	Phosphonate ABC transporter ATP-binding protein	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		group_4436	group_4436 | HMPREF0351_RS00745 | none confidence	amino acid ABC transporter ATP-binding protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=35.36; coverage=1.89	HMPREF0351_RS00745		amino acid ABC transporter ATP-binding protein	complement(149190..149930)	nucleotide_similarity	35.36	1.89	none	matched_representative_sequence=group_4436	BFAOAP_02781;DAGPJG_02041;DHOPGE_02664;DNHFDD_02643;FBIILI_02572;GJOFNM_02639;HKAALB_02601;JAOBDG_02495;KAOGPO_02724;MFDKLE_02578;NBICIC_02485;NHJIOO_02535;NPNGCM_02696;OFKADD_02516;PCBIPO_02662;PDOPEE_02750;POKLJE_01911
20	group_4435	gene_presence_absence	frr	ribosome recycling factor	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		frr	group_4435 | HMPREF0351_RS08075 | none confidence	ribosome recycling factor	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=30.27; coverage=2.49	HMPREF0351_RS08075	frr	ribosome recycling factor	complement(1662402..1662959)	nucleotide_similarity	30.27	2.49	none	matched_representative_sequence=group_4435	BFAOAP_02783;DAGPJG_02043;DHOPGE_02666;DNHFDD_02641;FBIILI_02570;GJOFNM_02641;HKAALB_02603;JAOBDG_02492;JAOBDG_02493;KAOGPO_02722;MFDKLE_02580;NBICIC_02487;NHJIOO_02537;NHJIOO_02538;NPNGCM_02698;OFKADD_02514;PCBIPO_02660;PDOPEE_02752;POKLJE_01913
21	group_4434	gene_presence_absence	rplI	Bifunctional metallophosphatase/5'-nucleotidase	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		rplI	group_4434 | HMPREF0351_RS00055 | none confidence	50S ribosomal protein L9	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=30.38; coverage=0.71	HMPREF0351_RS00055	rplI	50S ribosomal protein L9	12230..12682	nucleotide_similarity	30.38	0.71	none	matched_representative_sequence=group_4434	BFAOAP_02777;DAGPJG_02037;DHOPGE_02660;DNHFDD_02647;FBIILI_02576;GJOFNM_02635;HKAALB_02597;JAOBDG_02499;KAOGPO_02728;MFDKLE_02574;NBICIC_02481;NHJIOO_02531;NPNGCM_02692;OFKADD_02520;PCBIPO_02666;PDOPEE_02746;POKLJE_01907
22	group_4433	gene_presence_absence	phnE	Phosphonate ABC transporter permease PhnE	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		phnE	group_4433 | HMPREF0351_RS02580 | none confidence	5'-methylthioadenosine/adenosylhomocysteinenucleosidase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=28.32; coverage=2.04	HMPREF0351_RS02580		5'-methylthioadenosine/adenosylhomocysteinenucleosidase	539268..539960	nucleotide_similarity	28.32	2.04	none	matched_representative_sequence=group_4433	BFAOAP_02779;DAGPJG_02039;DHOPGE_02662;DNHFDD_02645;FBIILI_02574;GJOFNM_02637;HKAALB_02599;JAOBDG_02497;KAOGPO_02726;MFDKLE_02576;NBICIC_02483;NHJIOO_02533;NPNGCM_02694;OFKADD_02518;PCBIPO_02664;PDOPEE_02748;POKLJE_01909
23	phnE	gene_presence_absence	phnE	Phosphonate ABC transporter permease PhnE	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		phnE	phnE | HMPREF0351_RS00100 | none confidence	TMEM175 family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=40.32; coverage=1.41	HMPREF0351_RS00100		TMEM175 family protein	23934..24512	nucleotide_similarity	40.32	1.41	none	matched_representative_sequence=phnE	BFAOAP_02780;DAGPJG_02040;DHOPGE_02663;DNHFDD_02644;FBIILI_02573;GJOFNM_02638;HKAALB_02600;JAOBDG_02496;KAOGPO_02725;MFDKLE_02577;NBICIC_02484;NHJIOO_02534;NPNGCM_02695;OFKADD_02517;PCBIPO_02663;PDOPEE_02749;POKLJE_01910
24	group_4432	gene_presence_absence	group_4432	Mur ligase family protein	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		group_4432	group_4432 | HMPREF0351_RS10960 | none confidence	Mur ligase family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=15.34; coverage=8.08	HMPREF0351_RS10960		Mur ligase family protein	2246582..2247934	nucleotide_similarity	15.34	8.08	none	matched_representative_sequence=group_4432	BFAOAP_02776;DAGPJG_02036;DHOPGE_02659;DNHFDD_02648;FBIILI_02577;GJOFNM_02634;HKAALB_02596;JAOBDG_02500;KAOGPO_02729;MFDKLE_02573;NBICIC_02480;NHJIOO_02530;NPNGCM_02691;OFKADD_02521;PCBIPO_02667;PDOPEE_02745;POKLJE_01906
25	group_4431	gene_presence_absence	group_4431	aminopeptidase	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		group_4431	group_4431 | HMPREF0351_RS04215 | none confidence	aminopeptidase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=22.57; coverage=1.53	HMPREF0351_RS04215		aminopeptidase	complement(861608..862840)	nucleotide_similarity	22.57	1.53	none	matched_representative_sequence=group_4431	BFAOAP_02784;DAGPJG_02044;DHOPGE_02667;DNHFDD_02640;FBIILI_02569;GJOFNM_02642;HKAALB_02604;JAOBDG_02491;KAOGPO_02721;MFDKLE_02581;NBICIC_02488;NHJIOO_02539;NPNGCM_02699;OFKADD_02513;PCBIPO_02659;PDOPEE_02753;POKLJE_01914
26	group_4430	gene_presence_absence	group_4430	Solute-binding protein family 3/N-terminal domain-containing protein	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		group_4430	group_4430 | HMPREF0351_RS00115 | none confidence	acyltransferase domain-containing protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=36.15; coverage=1.08	HMPREF0351_RS00115		acyltransferase domain-containing protein	27767..28645	nucleotide_similarity	36.15	1.08	none	matched_representative_sequence=group_4430	BFAOAP_02782;DAGPJG_02042;DHOPGE_02665;DNHFDD_02642;FBIILI_02571;GJOFNM_02640;HKAALB_02602;JAOBDG_02494;KAOGPO_02723;MFDKLE_02579;NBICIC_02486;NHJIOO_02536;NPNGCM_02697;OFKADD_02515;PCBIPO_02661;PDOPEE_02751;POKLJE_01912
27	group_4429	gene_presence_absence	group_4429	Transposase;Transposase IS204/IS1001/IS1096/IS1165 DDE domain-containing protein	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		group_4429	group_4429 | HMPREF0351_RS01465 | none confidence	ISL3 family transposase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=97.45; coverage=17.52	HMPREF0351_RS01465		ISL3 family transposase	293413..294708	nucleotide_similarity	97.45	17.52	none	matched_representative_sequence=group_4429	BFAOAP_02775;DAGPJG_02035;DHOPGE_02658;DNHFDD_02649;FBIILI_02578;GJOFNM_02633;HKAALB_02595;JAOBDG_02501;KAOGPO_02730;MFDKLE_02572;NBICIC_02479;NHJIOO_02529;NPNGCM_02690;OFKADD_02522;PCBIPO_02668;PDOPEE_02744;POKLJE_01905
28	group_4428	gene_presence_absence	rplI	putative phosphohydrolases	0	50	0.0000	17	50	0.3400	Controls	-4.7	0.0189533	0.00110195	0.325995	0.001102-0.326	9.55e-08		15.7414	Panaroo/Bakta+GenBank		rplI	group_4428 | HMPREF0351_RS00055 | none confidence	50S ribosomal protein L9	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=35.16; coverage=1.24	HMPREF0351_RS00055	rplI	50S ribosomal protein L9	12230..12682	nucleotide_similarity	35.16	1.24	none	matched_representative_sequence=group_4428	BFAOAP_02778;DAGPJG_02038;DHOPGE_02661;DNHFDD_02646;FBIILI_02575;GJOFNM_02636;HKAALB_02598;JAOBDG_02498;KAOGPO_02727;MFDKLE_02575;NBICIC_02482;NHJIOO_02532;NPNGCM_02693;OFKADD_02519;PCBIPO_02665;PDOPEE_02747;POKLJE_01908
