sample	ERR110086	ERR119658	ERR190449	ERR190464	ERR190492	ERR190504	ERR190505	ERR190506	ERR197592	ERR197594	ERR197595	ERR197596	ERR197624	ERR197626	ERR197629	ERR263723	ERR263725	ERR263727	SRR10094378	SRR10094379	SRR10094383	SRR10094415	SRR10094418	SRR10094422	SRR10094424	SRR10094425	SRR10094426	SRR10094429	SRR10094430	SRR10094433	SRR10094434	SRR10094440	SRR10094529	SRR1180868	SRR1283129	SRR1819769	SRR1819771	SRR1945425	SRR1945427	SRR1945428	SRR1946597	SRR1997868	SRR2558840	SRR2558880	SRR2558884	SRR2558919	SRR2911725	SRR2911726	SRR2911739	SRR2916632	SRR2916633	SRR2916634	SRR2916657	SRR2917943	SRR3057118	SRR3112313	SRR3130307	SRR3130311	SRR3131145	SRR3131151	SRR3131159	SRR3131165	SRR3131171	SRR3131172	SRR3131173	SRR3131206	SRR3131219	SRR3131224	SRR3131226	SRR3131229	SRR3131230	SRR3131239	SRR3133100	SRR3133103	SRR3133107	SRR3137575	SRR3137581	SRR3137584	SRR3146378	SRR3151889	SRR3151891	SRR3152160	SRR3152161	SRR3152162	SRR3152492	SRR3152497	SRR3152498	SRR3152500	SRR3152502	SRR3159152	SRR3159159	SRR3159167	SRR3170230	SRR3170240	SRR3170244	SRR3170738	SRR3170739	SRR3170768	SRR3170769	SRR3170770
ERR197595	0.0240597	0.0242917	0.0219913	0.0247621	0.0234513	0.00257463	0.0210864	0.0232268	0	0.0192445	0	0	0.0226378	0.0206126	0.0247621	0.0212234	0.0201478	0.0201478	0.0226378	0.0233014	0.0233014	0.0230782	0.0239829	0.0239829	0.0239829	0.0232268	0.0238299	0.023602	0.0216393	0.0239829	0.0239829	0.0239829	0.0239829	0.0786628	0.0225651	0.0232268	0.0234513	0.0250805	0.0236777	0.0236777	0.0235265	0.0236777	0.0213613	0.0262266	0.0229306	0.0233014	0.0217093	0.0219205	0.0217093	0.0242142	0.0235265	0.0242142	0.0236777	0.0233014	0.0226378	0.0236777	0.0215695	0.0226378	0.0233762	0.0233762	0.0251607	0.0250805	0.0232268	0.0241368	0.0230782	0.0233762	0.0236777	0.022205	0.0238299	0.0226378	0.0247621	0.0239829	0.0233762	0.0235265	0.0233762	0.0229306	0.0234513	0.0228571	0.0233762	0.0230782	0.0219913	0.023602	0.023602	0.0236777	0.0225651	0.0246043	0.0210864	0.0250805	0.0239063	0.0233762	0.0233762	0.0233762	0.0230782	0.0228571	0.0224927	0.0238299	0.0241368	0.0234513	0.0236777	0.0239063
ERR197596	0.0240597	0.0242917	0.0219913	0.0247621	0.0234513	0.00257463	0.0210864	0.0232268	0	0.0192445	0	0	0.0226378	0.0206126	0.0247621	0.0212234	0.0201478	0.0201478	0.0226378	0.0233014	0.0233014	0.0230782	0.0239829	0.0239829	0.0239829	0.0232268	0.0238299	0.023602	0.0216393	0.0239829	0.0239829	0.0239829	0.0239829	0.0786628	0.0225651	0.0232268	0.0234513	0.0250805	0.0236777	0.0236777	0.0235265	0.0236777	0.0213613	0.0262266	0.0229306	0.0233014	0.0217093	0.0219205	0.0217093	0.0242142	0.0235265	0.0242142	0.0236777	0.0233014	0.0226378	0.0236777	0.0215695	0.0226378	0.0233762	0.0233762	0.0251607	0.0250805	0.0232268	0.0241368	0.0230782	0.0233762	0.0236777	0.022205	0.0238299	0.0226378	0.0247621	0.0239829	0.0233762	0.0235265	0.0233762	0.0229306	0.0234513	0.0228571	0.0233762	0.0230782	0.0219913	0.023602	0.023602	0.0236777	0.0225651	0.0246043	0.0210864	0.0250805	0.0239063	0.0233762	0.0233762	0.0233762	0.0230782	0.0228571	0.0224927	0.0238299	0.0241368	0.0234513	0.0236777	0.0239063
ERR197624	0.0213613	0.0213613	0.0212234	0.0212234	0.0209501	0.0225651	0.0219205	0.0224204	0.0226378	0.00167981	0.0226378	0.0226378	0	0.0226378	0.0212234	0.0231524	0.0219205	0.0219205	0.0026025	0.00476862	0.00476862	0.0220623	0.0227838	0.00439372	0.00439372	0.00299754	0.0208145	0.00334352	0.0191812	0.00325637	0.00325637	0.00325637	0.00325637	0.0737105	0.00274254	0.00288374	0.00314086	0.0222766	0.0212234	0.0208822	0.0216393	0.0208145	0.0184965	0.0251607	0.00531349	0.0193714	0.022205	0.0220623	0.022205	0.0219913	0.0216393	0.0219913	0.0212234	0.00390583	0.00279888	0.0208145	0.0037263	0.0025468	0.0194352	0.0194352	0.0223484	0.0222766	0.00308338	0.0219205	0.0210864	0.0194352	0.0212923	0.0238299	0.0212234	0.00518381	0.0229306	0.0216393	0.0194352	0.0194352	0.0194352	0.0211548	0.0212923	0.0221335	0.0194352	0.0209501	0.00408721	0.0208145	0.0208145	0.0208145	0.00541137	0.0217795	0.0201478	0.0222766	0.0197565	0.0194352	0.0194352	0.0194352	0.0223484	0.0221335	0.00521614	0.0212234	0.0217093	0.00666341	0.0208145	0.0212234
ERR197626	0.0256472	0.0249208	0.0239063	0.0236777	0.0227107	0.0202137	0.023602	0.0244475	0.0206126	0.0241368	0.0206126	0.0206126	0.0226378	0	0.0236777	0.00075568	0.0230782	0.0230782	0.0229306	0.0242917	0.0242917	0.0212923	0.0240597	0.0242142	0.0242142	0.0239063	0.0250805	0.0242142	0.0206126	0.0240597	0.0240597	0.0240597	0.0240597	0.0733545	0.0229306	0.0244475	0.0246043	0.0259767	0.0248413	0.0249208	0.0232268	0.0247621	0.0223484	0.0236777	0.0230782	0.0225651	0.023602	0.0237537	0.023602	0.023602	0.0232268	0.023602	0.0248413	0.0234513	0.0231524	0.0247621	0.0217093	0.0233762	0.0227107	0.0227107	0.0260597	0.0259767	0.0236777	0.0257292	0.0241368	0.0227107	0.0248413	0.00337267	0.025484	0.0233014	0.0242142	0.0254028	0.0227107	0.0228571	0.0227107	0.0212234	0.0242917	0.0242917	0.0227107	0.0226378	0.0221335	0.0246831	0.0246831	0.0247621	0.0238299	0.0232268	0.0214999	0.0259767	0.0224927	0.0227107	0.0227107	0.0227107	0.0241368	0.0242142	0.0233014	0.025484	0.0256472	0.0246043	0.0247621	0.0254028
ERR197629	0.0239829	0.0229306	0.0223484	2.38274e-05	0.0213613	0.0242917	0.0220623	0.0229306	0.0247621	0.0225651	0.0247621	0.0247621	0.0212234	0.0236777	0	0.0241368	0.0233014	0.0233014	0.0217093	0.0231524	0.0231524	0.0225651	0.023602	0.0230782	0.0230782	0.0226378	0.0234513	0.0228571	0.0210181	0.0230043	0.0230043	0.0230043	0.0230043	0.0730018	0.0211548	0.0218499	0.0220623	0.0236777	0.0236777	0.0233014	0.0226378	0.0233014	0.0198213	0.0253218	0.0235265	0.0211548	0.0228571	0.0223484	0.0228571	0.0229306	0.0226378	0.0229306	0.0236777	0.022205	0.0217093	0.0233014	0.0219913	0.0219205	0.0216393	0.0216393	0.0237537	0.0236777	0.0225651	0.0242917	0.0233762	0.0216393	0.0237537	0.0242142	0.023602	0.0233014	0.0237537	0.0237537	0.0216393	0.0215695	0.0216393	0.0227107	0.0231524	0.0239829	0.0216393	0.0224927	0.0222766	0.0233014	0.0233014	0.0233014	0.0236777	0.0241368	0.0217795	0.0236777	0.0229306	0.0216393	0.0216393	0.0216393	0.0242142	0.0239063	0.0229306	0.023602	0.0240597	0.0227838	0.0233014	0.023602
ERR263723	0.0245258	0.025484	0.0242917	0.0241368	0.0229306	0.0206797	0.0241368	0.0246043	0.0212234	0.0245258	0.0212234	0.0212234	0.0231524	0.00075568	0.0241368	0	0.0235265	0.0235265	0.0233762	0.0231524	0.0231524	0.0215695	0.0244475	0.0233014	0.0233014	0.0227838	0.0254028	0.0230782	0.0208822	0.0230782	0.0230782	0.0230782	0.0230782	0.0740698	0.0234513	0.0234513	0.0235265	0.0250805	0.0253218	0.0254028	0.0237537	0.0252411	0.0227107	0.0239063	0.0236777	0.0228571	0.0241368	0.0243695	0.0241368	0.0227107	0.0237537	0.0227107	0.0253218	0.0237537	0.023602	0.0252411	0.022205	0.0239063	0.0234513	0.0234513	0.0251607	0.0250805	0.0227838	0.0246043	0.0246043	0.0234513	0.025484	0.00305472	0.0246043	0.0239829	0.0248413	0.0243695	0.0234513	0.0233762	0.0234513	0.0215695	0.0234513	0.0231524	0.0234513	0.0216393	0.0225651	0.0252411	0.0252411	0.0252411	0.0245258	0.0235265	0.0221335	0.0250805	0.0228571	0.0234513	0.0234513	0.0234513	0.0231524	0.0231524	0.0236777	0.0246043	0.0246043	0.0235265	0.0252411	0.0242142
ERR263725	0.0238299	0.0225651	0.0241368	0.0233014	0.0224204	0.0199514	0.00680395	0.0116661	0.0201478	0.0225651	0.0201478	0.0201478	0.0219205	0.0230782	0.0233014	0.0235265	0	0	0.0219205	0.0227838	0.0227838	0.0233762	0.0237537	0.0230043	0.0230043	0.0227838	0.0233014	0.0229306	0.0217093	0.0227838	0.0227838	0.0227838	0.0227838	0.0747985	0.020747	0.0227107	0.0227838	0.0231524	0.0241368	0.0233762	0.0226378	0.0232268	0.0206126	0.0259767	0.0226378	0.0224927	0.00752278	0.00676872	0.00752278	0.0231524	0.0226378	0.0231524	0.0241368	0.0226378	0.0221335	0.0232268	0.0224204	0.0225651	0.0232268	0.0232268	0.0232268	0.0231524	0.022205	0.0241368	0.0235265	0.0232268	0.0242142	0.0244475	0.0227107	0.0227107	0.0243695	0.0238299	0.0232268	0.0233762	0.0232268	0.0227838	0.0238299	0.0251607	0.0232268	0.0245258	0.0228571	0.0232268	0.0232268	0.0232268	0.0231524	0.0242142	0.0230782	0.0231524	0.0238299	0.0232268	0.0232268	0.0232268	0.0252411	0.0250805	0.0228571	0.0227107	0.0240597	0.0233014	0.0232268	0.0237537
ERR263727	0.0238299	0.0225651	0.0241368	0.0233014	0.0224204	0.0199514	0.00680395	0.0116661	0.0201478	0.0225651	0.0201478	0.0201478	0.0219205	0.0230782	0.0233014	0.0235265	0	0	0.0219205	0.0227838	0.0227838	0.0233762	0.0237537	0.0230043	0.0230043	0.0227838	0.0233014	0.0229306	0.0217093	0.0227838	0.0227838	0.0227838	0.0227838	0.0747985	0.020747	0.0227107	0.0227838	0.0231524	0.0241368	0.0233762	0.0226378	0.0232268	0.0206126	0.0259767	0.0226378	0.0224927	0.00752278	0.00676872	0.00752278	0.0231524	0.0226378	0.0231524	0.0241368	0.0226378	0.0221335	0.0232268	0.0224204	0.0225651	0.0232268	0.0232268	0.0232268	0.0231524	0.022205	0.0241368	0.0235265	0.0232268	0.0242142	0.0244475	0.0227107	0.0227107	0.0243695	0.0238299	0.0232268	0.0233762	0.0232268	0.0227838	0.0238299	0.0251607	0.0232268	0.0245258	0.0228571	0.0232268	0.0232268	0.0232268	0.0231524	0.0242142	0.0230782	0.0231524	0.0238299	0.0232268	0.0232268	0.0232268	0.0252411	0.0250805	0.0228571	0.0227107	0.0240597	0.0233014	0.0232268	0.0237537
SRR10094378	0.0199514	0.0200167	0.0203459	0.0217093	0.0214999	0.0226378	0.0212923	0.0224927	0.0226378	0.00399629	0.0226378	0.0226378	0.0026025	0.0229306	0.0217093	0.0233762	0.0219205	0.0219205	0	0.00205363	0.00205363	0.0217093	0.0229306	0.00221642	0.00221642	0.0010072	0.0189925	0.00105797	0.0188675	0.0011856	0.0011856	0.0011856	0.0011856	0.0733545	0.00316966	0.0023533	0.00249129	0.0204123	0.0202797	0.0193714	0.0206797	0.0193714	0.0183132	0.0253218	0.00492718	0.0204123	0.0220623	0.0213613	0.0220623	0.0210864	0.0206797	0.0210864	0.0202797	0.00197282	0.000336872	0.0193714	0.00375609	0.00291212	0.0193714	0.0193714	0.0204789	0.0204123	0.00302611	0.0208822	0.0195632	0.0193714	0.0202797	0.0239063	0.0191812	0.00461146	0.0220623	0.0205456	0.0193714	0.0192445	0.0193714	0.0217795	0.0204789	0.0218499	0.0193714	0.0208822	0.00408721	0.0193079	0.0193079	0.0193714	0.00492718	0.0218499	0.0196919	0.0204123	0.0193079	0.0193714	0.0193714	0.0193714	0.0220623	0.0217795	0.00464278	0.0191812	0.0208145	0.00730426	0.0193714	0.0196919
SRR10094379	0.0183741	0.0193079	0.0209501	0.0231524	0.0227838	0.0234513	0.0218499	0.0230782	0.0233014	0.00607761	0.0233014	0.0233014	0.00476862	0.0242917	0.0231524	0.0231524	0.0227838	0.0227838	0.00205363	0	0	0.0229306	0.0239063	0.00229842	0.00229842	0.0018924	0.0183741	0.00205363	0.0197565	0.00218918	0.00218918	0.00218918	0.00218918	0.0737105	0.00436283	0.00354859	0.00366686	0.0184965	0.0198862	0.0191181	0.0209501	0.0189299	0.0192445	0.0258115	0.00564181	0.0214999	0.0226378	0.0219205	0.0226378	0.0200822	0.0209501	0.0200822	0.0198862	0.00387578	0.00232584	0.0189299	0.00451781	0.00489536	0.0214999	0.0214999	0.0185579	0.0184965	0.00411762	0.0191812	0.0192445	0.0214999	0.0199514	0.0230043	0.0175939	0.00541137	0.022205	0.0189925	0.0214999	0.0213613	0.0214999	0.0227107	0.0188675	0.0210864	0.0214999	0.0206126	0.004991	0.0189299	0.0189299	0.0189299	0.00560872	0.0222766	0.020747	0.0184965	0.0200822	0.0214999	0.0214999	0.0214999	0.0212234	0.0210864	0.00480022	0.0175939	0.0190552	0.0064892	0.0189299	0.0181917
SRR10094383	0.0183741	0.0193079	0.0209501	0.0231524	0.0227838	0.0234513	0.0218499	0.0230782	0.0233014	0.00607761	0.0233014	0.0233014	0.00476862	0.0242917	0.0231524	0.0231524	0.0227838	0.0227838	0.00205363	0	0	0.0229306	0.0239063	0.00229842	0.00229842	0.0018924	0.0183741	0.00205363	0.0197565	0.00218918	0.00218918	0.00218918	0.00218918	0.0737105	0.00436283	0.00354859	0.00366686	0.0184965	0.0198862	0.0191181	0.0209501	0.0189299	0.0192445	0.0258115	0.00564181	0.0214999	0.0226378	0.0219205	0.0226378	0.0200822	0.0209501	0.0200822	0.0198862	0.00387578	0.00232584	0.0189299	0.00451781	0.00489536	0.0214999	0.0214999	0.0185579	0.0184965	0.00411762	0.0191812	0.0192445	0.0214999	0.0199514	0.0230043	0.0175939	0.00541137	0.022205	0.0189925	0.0214999	0.0213613	0.0214999	0.0227107	0.0188675	0.0210864	0.0214999	0.0206126	0.004991	0.0189299	0.0189299	0.0189299	0.00560872	0.0222766	0.020747	0.0184965	0.0200822	0.0214999	0.0214999	0.0214999	0.0212234	0.0210864	0.00480022	0.0175939	0.0190552	0.0064892	0.0189299	0.0181917
