rank	feature_id	feature_type	gene_name	product	case_present	case_total	case_frequency	control_present	control_total	control_frequency	enriched_in	beta	odds_ratio	odds_ratio_ci95_lower	odds_ratio_ci95_upper	odds_ratio_ci95	pyseer_pvalue	q_value	priority_score	annotation_source	notes	display_name	display_label	display_product	interpretation_note	annotation_evidence	reference_locus_tag	reference_gene	reference_product	reference_location	reference_match_type	reference_identity	reference_coverage	annotation_confidence	annotation_note	cluster_member_ids
11	group_2596	gene_presence_absence	group_2596	HTH lysR-type domain-containing protein;hypothetical protein	50	50	1.0000	17	50	0.3400	Cases	4.34	193.343	11.2409	3325.47	11.24-3325	9.14e-06		15.6341	Panaroo/Bakta+GenBank		group_2596	group_2596 | A6739_RS00005 | none confidence	DsbC family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=37.82; coverage=1.04	A6739_RS00005		DsbC family protein	complement(<1..585)	nucleotide_similarity	37.82	1.04	none	matched_representative_sequence=group_2596	AHMIAP_03306;AIGIAA_00356;ANGLGM_01646;ANNMME_01835;BDOIEG_02864;BIMHKD_00043;BKKCFL_03132;CHLMLA_00905;CLAKBE_02995;COHMLF_03300;DEPLCM_00729;DHMCKF_03294;DLCDOA_01301;EDMCBA_01154;EKEFBI_00067;EKJIGM_01815;EMLMMI_00067;ENEAAA_00813;FAMOPM_01942;FDMKAG_02587;FEECBJ_03013;FKBKHM_03647;FNOCKN_01988;GAEFLF_02847;GEIJOK_02696;GGMMDJ_02480;GJMGGM_01944;GLGIIC_01650;GLMFPI_01764;GMFAHH_01093
12	group_6743	gene_presence_absence	group_6743	hypothetical protein;DUF4435 domain-containing protein	40	50	0.8000	2	50	0.0400	Cases	3.31	74.8286	17.7107	316.154	17.71-316.2	7.47e-06		14.3522	Panaroo/Bakta+GenBank		group_6743	group_6743 | A6739_RS00005 | none confidence	DsbC family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=32.23; coverage=0.71	A6739_RS00005		DsbC family protein	complement(<1..585)	nucleotide_similarity	32.23	0.71	none	matched_representative_sequence=group_6743	ANGLGM_02784;ANNMME_00702;BIMHKD_00232;BKKCFL_01771;CHLMLA_02685;CLAKBE_02086;DEPLCM_00540;EDMCBA_00707;ENEAAA_00442;FAMOPM_02007;FDMKAG_01026;FKBKHM_03628;FNOCKN_00731;GAEFLF_02089;GEIJOK_00057;GJMGGM_00704;GMFAHH_00380;HENMEN_02575;HKLMOD_00412;IILCLB_00963;JAKFAI_00861;JEJHBL_00057;JFJBEF_02464;JGKJBK_00190;JOLCOG_02056;KDMBIP_03043;LPJHGC_00057;MDFJDP_00198;MOFKMO_02235;NCLOCB_00707
13	group_5867	gene_presence_absence	rpmH	50S ribosomal protein L34	40	50	0.8000	2	50	0.0400	Cases	3.31	74.8286	17.7107	316.154	17.71-316.2	7.47e-06		14.3522	Panaroo/Bakta+GenBank		rpmH	group_5867 | A6739_RS00040 | none confidence	50S ribosomal protein L34	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=37.20; coverage=2.51	A6739_RS00040	rpmH	50S ribosomal protein L34	complement(5988..6122)	nucleotide_similarity	37.20	2.51	none	matched_representative_sequence=group_5867	ANGLGM_02779;ANNMME_00697;BIMHKD_00237;BKKCFL_01776;CHLMLA_02680;CLAKBE_02081;DEPLCM_00535;EDMCBA_00712;ENEAAA_00447;FAMOPM_02012;FDMKAG_01021;FKBKHM_03623;FNOCKN_00726;GAEFLF_02084;GEIJOK_00062;GJMGGM_00709;GMFAHH_00385;HENMEN_02580;HKLMOD_00417;IILCLB_00968;JAKFAI_00856;JEJHBL_00062;JFJBEF_02459;JGKJBK_00195;JOLCOG_02051;KDMBIP_03038;LPJHGC_00062;MDFJDP_00193;MOFKMO_02240;NCLOCB_00712
14	group_4130	gene_presence_absence	tatD	TatD family hydrolase	40	50	0.8000	2	50	0.0400	Cases	3.31	74.8286	17.7107	316.154	17.71-316.2	7.47e-06		14.3522	Panaroo/Bakta+GenBank		tatD	group_4130 | A6739_RS00055 | none confidence	DNA replication/repair protein RecF	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=37.39; coverage=1.35	A6739_RS00055	recF	DNA replication/repair protein RecF	9451..10533	nucleotide_similarity	37.39	1.35	none	matched_representative_sequence=group_4130	ANGLGM_02780;ANNMME_00698;BIMHKD_00236;BKKCFL_01775;CHLMLA_02681;CLAKBE_02082;DEPLCM_00536;EDMCBA_00711;ENEAAA_00446;FAMOPM_02011;FDMKAG_01022;FKBKHM_03624;FNOCKN_00727;GAEFLF_02085;GEIJOK_00061;GJMGGM_00708;GMFAHH_00384;HENMEN_02579;HKLMOD_00416;IILCLB_00967;JAKFAI_00857;JEJHBL_00061;JFJBEF_02460;JGKJBK_00194;JOLCOG_02052;KDMBIP_03039;LPJHGC_00061;MDFJDP_00194;MOFKMO_02239;NCLOCB_00711
15	group_4063	gene_presence_absence	cybC	DUF5610 domain-containing protein	40	50	0.8000	2	50	0.0400	Cases	3.31	74.8286	17.7107	316.154	17.71-316.2	7.47e-06		14.3522	Panaroo/Bakta+GenBank		cybC	group_4063 | A6739_RS00065 | none confidence	cytochrome b562	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=33.33; coverage=1.31	A6739_RS00065	cybC	cytochrome b562	13092..13484	nucleotide_similarity	33.33	1.31	none	matched_representative_sequence=group_4063	ANGLGM_02782;ANNMME_00700;BIMHKD_00234;BKKCFL_01773;CHLMLA_02683;CLAKBE_02084;DEPLCM_00538;EDMCBA_00709;ENEAAA_00444;FAMOPM_02009;FDMKAG_01024;FKBKHM_03626;FNOCKN_00729;GAEFLF_02087;GEIJOK_00059;GJMGGM_00706;GMFAHH_00382;HENMEN_02577;HKLMOD_00414;IILCLB_00965;JAKFAI_00859;JEJHBL_00059;JFJBEF_02462;JGKJBK_00192;JOLCOG_02054;KDMBIP_03041;LPJHGC_00059;MDFJDP_00196;MOFKMO_02237;NCLOCB_00709
16	group_2369	gene_presence_absence	group_2369	7-cyano-7-deazaguanine synthase	40	50	0.8000	2	50	0.0400	Cases	3.31	74.8286	17.7107	316.154	17.71-316.2	7.47e-06		14.3522	Panaroo/Bakta+GenBank		group_2369	group_2369 | A6739_RS00100 | none confidence	alpha/beta fold hydrolase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=29.98; coverage=0.75	A6739_RS00100		alpha/beta fold hydrolase	complement(20695..21540)	nucleotide_similarity	29.98	0.75	none	matched_representative_sequence=group_2369	ANGLGM_02781;ANNMME_00699;BIMHKD_00235;BKKCFL_01774;CHLMLA_02682;CLAKBE_02083;DEPLCM_00537;EDMCBA_00710;ENEAAA_00445;FAMOPM_02010;FDMKAG_01023;FKBKHM_03625;FNOCKN_00728;GAEFLF_02086;GEIJOK_00060;GJMGGM_00707;GMFAHH_00383;HENMEN_02578;HKLMOD_00415;IILCLB_00966;JAKFAI_00858;JEJHBL_00060;JFJBEF_02461;JGKJBK_00193;JOLCOG_02053;KDMBIP_03040;LPJHGC_00060;MDFJDP_00195;MOFKMO_02238;NCLOCB_00710
17	group_1038	gene_presence_absence	mnmE	KAP NTPase domain-containing protein	40	50	0.8000	2	50	0.0400	Cases	3.31	74.8286	17.7107	316.154	17.71-316.2	7.47e-06		14.3522	Panaroo/Bakta+GenBank		mnmE	group_1038 | A6739_RS00020 | none confidence	tRNA uridine-5-carboxymethylaminomethyl(34)synthesis GTPase MnmE	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=25.46; coverage=0.61	A6739_RS00020	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34)synthesis GTPase MnmE	complement(2023..3378)	nucleotide_similarity	25.46	0.61	none	matched_representative_sequence=group_1038	ANGLGM_02783;ANNMME_00701;BIMHKD_00233;BKKCFL_01772;CHLMLA_02684;CLAKBE_02085;DEPLCM_00539;EDMCBA_00708;ENEAAA_00443;FAMOPM_02008;FDMKAG_01025;FKBKHM_03627;FNOCKN_00730;GAEFLF_02088;GEIJOK_00058;GJMGGM_00705;GMFAHH_00381;HENMEN_02576;HKLMOD_00413;IILCLB_00964;JAKFAI_00860;JEJHBL_00058;JFJBEF_02463;JGKJBK_00191;JOLCOG_02055;KDMBIP_03042;LPJHGC_00058;MDFJDP_00197;MOFKMO_02236;NCLOCB_00708
18	group_7386	gene_presence_absence	abc-f	hypothetical protein;molecular chaperone;J domain-containing protein	0	50	0.0000	28	50	0.5600	Controls	-4.24	0.00781657	0.000456753	0.133768	0.0004568-0.1338	5.67e-05		14.2457	Panaroo/Bakta+GenBank		abc-f	group_7386 | A6739_RS00075 | none confidence	ribosomal protection-like ABC-F family protein	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=27.17; coverage=0.61	A6739_RS00075	abc-f	ribosomal protection-like ABC-F family protein	complement(14377..16308)	nucleotide_similarity	27.17	0.61	none	matched_representative_sequence=group_7386	AEAJCM_02499;AEAJCM_03215;AEPHHL_00719;AGNLLF_00161;AOBNGK_00113;APKFKK_02567;APKFKK_03408;BCAJEO_02543;BCAJEO_03233;BDOIEG_00930;EAFGGO_00916;EOONHM_00273;GLGIIC_00516;GMMHOP_00157;GPCEGG_02345;GPCEGG_03120;HIOOEO_02488;HIOOEO_03400;JBKHKM_00586;LABLAA_01379;LAEAMC_00221;LNGIEH_00373;MOFLDA_00420;NADHLL_03426;NGKKDC_00920;NJCICH_01460;NKDDBA_02555;NKDDBA_03397;OBMFOM_00682;OIJAEJ_02458
19	group_6799	gene_presence_absence	yopX	YopX protein domain-containing protein	0	50	0.0000	14	50	0.2800	Controls	-5.16	0.0249232	0.00143991	0.431393	0.00144-0.4314	1.35e-06		14.1960	Panaroo/Bakta+GenBank		yopX	group_6799 | A6739_RS00080 | none confidence	putative solute-binding protein	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=36.57; coverage=1.96	A6739_RS00080		putative solute-binding protein	16565..17569	nucleotide_similarity	36.57	1.96	none	matched_representative_sequence=group_6799	AEPHHL_02070;AGNLLF_02684;DLCDOA_02796;EOONHM_01407;GLGIIC_02476;GMMHOP_01641;JBKHKM_03693;KAIBOE_03973;LNGIEH_02289;MOFLDA_01218;NGKKDC_02373;NJCICH_03028;OBMFOM_03711;OLJICN_02125
20	group_2705	gene_presence_absence	rnpA	ribonuclease P protein component	0	50	0.0000	14	50	0.2800	Controls	-5.16	0.0249232	0.00143991	0.431393	0.00144-0.4314	1.35e-06		14.1960	Panaroo/Bakta+GenBank		rnpA	group_2705 | A6739_RS00035 | none confidence	ribonuclease P protein component	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=37.36; coverage=1.80	A6739_RS00035	rnpA	ribonuclease P protein component	complement(5566..5958)	nucleotide_similarity	37.36	1.80	none	matched_representative_sequence=group_2705	AEPHHL_02068;AGNLLF_02682;DLCDOA_02798;EOONHM_01406;GLGIIC_02477;GMMHOP_01640;JBKHKM_03694;KAIBOE_03975;LNGIEH_02290;MOFLDA_01219;NGKKDC_02375;NJCICH_03030;OBMFOM_03710;OLJICN_02123
21	group_2631	gene_presence_absence	abc-f	Betaine/carnitine/choline transporter (BCCT) family transporter	39	50	0.7800	7	50	0.1400	Cases	8.9	19.9217	7.21397	55.0149	7.214-55.01	1.61e-07		14.1094	Panaroo/Bakta+GenBank		abc-f	group_2631 | A6739_RS00075 | none confidence	ribosomal protection-like ABC-F family protein	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=26.99; coverage=0.89	A6739_RS00075	abc-f	ribosomal protection-like ABC-F family protein	complement(14377..16308)	nucleotide_similarity	26.99	0.89	none	matched_representative_sequence=group_2631	AHMIAP_01331;AIGIAA_02836;CHLMLA_02698;COHMLF_00667;DHMCKF_00974;EDMCBA_02679;EKEFBI_02306;EKJIGM_00999;EMLMMI_02310;ENEAAA_02813;FDMKAG_02369;FKBKHM_01914;FNOCKN_00050;GEIJOK_02369;GGMMDJ_01052;GJMGGM_00228;GMFAHH_02704;HENMEN_02668;HKLMOD_02576;HMEENH_00536;IILCLB_00259;JAKFAI_02861;JDELMK_00050;JEJHBL_02154;JFJBEF_01670;JGKJBK_01711;JMCNGE_02121;JOLCOG_01009;KAIBOE_02413;KDMBIP_01656
22	group_2693	gene_presence_absence	cybC	Phage head morphogenesis domain-containing protein	0	50	0.0000	20	50	0.4000	Controls	-4.99	0.0147307	0.00085959	0.25244	0.0008596-0.2524	1.19e-05		14.0095	Panaroo/Bakta+GenBank		cybC	group_2693 | A6739_RS00065 | none confidence	cytochrome b562	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=35.70; coverage=0.83	A6739_RS00065	cybC	cytochrome b562	13092..13484	nucleotide_similarity	35.70	0.83	none	matched_representative_sequence=group_2693	AEAJCM_02218;AEPHHL_01015;APKFKK_02302;BCAJEO_02346;EAFGGO_00673;EOONHM_01193;GMMHOP_01821;GPCEGG_02148;HIOOEO_02207;KAIBOE_03660;LABLAA_00932;MOFLDA_01265;NGKKDC_00623;NKDDBA_02206;OIJAEJ_02177;OLJICN_00066;OMAPCN_02193;OMJIED_03257;PAJDEF_02207;PDBBOI_02175
23	group_2386	gene_presence_absence	group_2386	DUF3168 domain-containing protein	0	50	0.0000	20	50	0.4000	Controls	-4.99	0.0147307	0.00085959	0.25244	0.0008596-0.2524	1.19e-05		14.0095	Panaroo/Bakta+GenBank		group_2386	group_2386 | A6739_RS00015 | none confidence	metal/formaldehyde-sensitive transcriptionalrepressor	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=37.71; coverage=1.75	A6739_RS00015		metal/formaldehyde-sensitive transcriptionalrepressor	1713..1976	nucleotide_similarity	37.71	1.75	none	matched_representative_sequence=group_2386	AEAJCM_02226;AEPHHL_01024;APKFKK_02310;BCAJEO_02354;EAFGGO_00665;EOONHM_01185;GMMHOP_01813;GPCEGG_02156;HIOOEO_02215;KAIBOE_03669;LABLAA_00923;MOFLDA_01257;NGKKDC_00614;NKDDBA_02214;OIJAEJ_02185;OLJICN_00057;OMAPCN_02201;OMJIED_03267;PAJDEF_02215;PDBBOI_02167
24	group_2274	gene_presence_absence	erpA	HK97 gp10 family phage protein	0	50	0.0000	20	50	0.4000	Controls	-4.99	0.0147307	0.00085959	0.25244	0.0008596-0.2524	1.19e-05		14.0095	Panaroo/Bakta+GenBank		erpA	group_2274 | A6739_RS00095 | none confidence	iron-sulfur cluster insertion protein ErpA	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=33.59; coverage=1.75	A6739_RS00095	erpA	iron-sulfur cluster insertion protein ErpA	20304..20639	nucleotide_similarity	33.59	1.75	none	matched_representative_sequence=group_2274	AEAJCM_02225;AEPHHL_01023;APKFKK_02309;BCAJEO_02353;EAFGGO_00666;EOONHM_01186;GMMHOP_01814;GPCEGG_02155;HIOOEO_02214;KAIBOE_03668;LABLAA_00924;MOFLDA_01258;NGKKDC_00615;NKDDBA_02213;OIJAEJ_02184;OLJICN_00058;OMAPCN_02200;OMJIED_03266;PAJDEF_02214;PDBBOI_02168
25	group_2019	gene_presence_absence	group_2019	hypothetical protein;Glutamate 5-kinase	0	50	0.0000	20	50	0.4000	Controls	-4.99	0.0147307	0.00085959	0.25244	0.0008596-0.2524	1.19e-05		14.0095	Panaroo/Bakta+GenBank		group_2019	group_2019 | A6739_RS00005 | none confidence	DsbC family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=38.65; coverage=2.80	A6739_RS00005		DsbC family protein	complement(<1..585)	nucleotide_similarity	38.65	2.80	none	matched_representative_sequence=group_2019	AEAJCM_02224;AEPHHL_01021;APKFKK_02308;BCAJEO_02352;EAFGGO_00667;EOONHM_01188;GMMHOP_01816;GPCEGG_02154;HIOOEO_02213;KAIBOE_03666;LABLAA_00926;MOFLDA_01260;NGKKDC_00617;NKDDBA_02212;OIJAEJ_02183;OLJICN_00060;OMAPCN_02199;OMJIED_03264;PAJDEF_02213;PDBBOI_02169
