rank	feature_id	feature_type	gene_name	product	case_present	case_total	case_frequency	control_present	control_total	control_frequency	enriched_in	beta	odds_ratio	odds_ratio_ci95_lower	odds_ratio_ci95_upper	odds_ratio_ci95	pyseer_pvalue	q_value	priority_score	annotation_source	notes	display_name	display_label	display_product	interpretation_note	annotation_evidence	reference_locus_tag	reference_gene	reference_product	reference_location	reference_match_type	reference_identity	reference_coverage	annotation_confidence	annotation_note	cluster_member_ids
11	group_3154	gene_presence_absence	group_3154	DUF2612 domain-containing protein	39	50	0.7800	6	50	0.1200	Cases	3.26	23.5151	8.20477	67.3947	8.205-67.39	3.76e-12		18.9803	Panaroo/Bakta+GenBank		group_3154	group_3154 | KPN_RS21990 | none confidence	GNAT family N-acetyltransferase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=36.27; coverage=2.06	KPN_RS21990		GNAT family N-acetyltransferase	4464485..4464931	nucleotide_similarity	36.27	2.06	none	matched_representative_sequence=group_3154	AEOABF_05501;AHHNMN_05340;AHNHFK_05594;ANNNIK_05343;BEDDGA_05650;BGGBBI_05089;BLCKKP_05610;CHCLDJ_05458;CPJPGI_05650;DGLKOJ_05482;EKPLKB_05328;EOIIEI_05314;FIIMIJ_05628;FMDNFB_05462;FPBJNE_05361;FPPMFH_05340;GCNAEO_02625;GOALEL_05307;HBAILA_05622;HBKCOO_05468;HGIJOB_05077;IBBJOJ_05454;IECKKB_05455;IKDFAP_04684;JGNJAB_05497;JJNMLC_05401;JMFOKH_05432;KKELHE_05564;KNNKAF_05328;LBJLPI_05304
12	group_6321	gene_presence_absence	group_6321	Ead/Ea22-like family protein	36	50	0.7200	4	50	0.0800	Cases	3.39	26.0115	8.2939	81.5778	8.294-81.58	5.7e-12		18.9452	Panaroo/Bakta+GenBank		group_6321	group_6321 | KPN_RS11890 | none confidence	YchJ family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=25.67; coverage=2.96	KPN_RS11890		YchJ family protein	2415655..2416113	nucleotide_similarity	25.67	2.96	none	matched_representative_sequence=group_6321	AEOABF_00919;AHHNMN_00522;AHNHFK_01928;ANNNIK_00774;BEDDGA_00659;BGGBBI_00343;BLCKKP_04427;CBCBPB_02162;CHCLDJ_00546;CPJPGI_01556;DGLKOJ_00783;EKPLKB_01612;EOIIEI_01657;FIIMIJ_00385;FMDNFB_01293;FPBJNE_04646;FPPMFH_01004;GOALEL_04535;HBAILA_00884;HBKCOO_01418;IBBJOJ_01597;IECKKB_01059;JGNJAB_01574;JJNMLC_01051;JMFOKH_02183;KKELHE_01687;KNNKAF_00546;LBJLPI_01210;LEGHFF_04606;LGDJCA_01095
13	group_6208	gene_presence_absence	fkpB	HNH endonuclease	36	50	0.7200	4	50	0.0800	Cases	3.39	26.0115	8.2939	81.5778	8.294-81.58	5.7e-12		18.9452	Panaroo/Bakta+GenBank		fkpB	group_6208 | KPN_RS00115 | none confidence	FKBP-type peptidyl-prolyl cis-trans isomerase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=36.29; coverage=1.51	KPN_RS00115	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	24180..24629	nucleotide_similarity	36.29	1.51	none	matched_representative_sequence=group_6208	AEOABF_00911;AHHNMN_00514;AHNHFK_01920;ANNNIK_00782;BEDDGA_00651;BGGBBI_00335;BLCKKP_04435;CBCBPB_02170;CHCLDJ_00538;CPJPGI_01564;DGLKOJ_00775;EKPLKB_01604;EOIIEI_01649;FIIMIJ_00377;FMDNFB_01285;FPBJNE_04638;FPPMFH_00996;GOALEL_04543;HBAILA_00876;HBKCOO_01426;IBBJOJ_01605;IECKKB_01067;JGNJAB_01566;JJNMLC_01059;JMFOKH_02191;KKELHE_01679;KNNKAF_00538;LBJLPI_01218;LEGHFF_04598;LGDJCA_01087
14	group_5736	gene_presence_absence	group_5736	DUF551 domain-containing protein	36	50	0.7200	4	50	0.0800	Cases	3.39	26.0115	8.2939	81.5778	8.294-81.58	5.7e-12		18.9452	Panaroo/Bakta+GenBank		group_5736	group_5736 | KPN_RS09930 | none confidence	LysR family transcriptional regulator	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=32.68; coverage=2.47	KPN_RS09930		LysR family transcriptional regulator	complement(2032600..2033493)	nucleotide_similarity	32.68	2.47	none	matched_representative_sequence=group_5736	AEOABF_00916;AHHNMN_00519;AHNHFK_01925;ANNNIK_00777;BEDDGA_00656;BGGBBI_00340;BLCKKP_04430;CBCBPB_02165;CHCLDJ_00543;CPJPGI_01559;DGLKOJ_00780;EKPLKB_01609;EOIIEI_01654;FIIMIJ_00382;FMDNFB_01290;FPBJNE_04643;FPPMFH_01001;GOALEL_04538;HBAILA_00881;HBKCOO_01421;IBBJOJ_01600;IECKKB_01062;JGNJAB_01571;JJNMLC_01054;JMFOKH_02186;KKELHE_01684;KNNKAF_00543;LBJLPI_01213;LEGHFF_04603;LGDJCA_01092
15	group_5471	gene_presence_absence	lamG	LamG domain-containing protein	36	50	0.7200	4	50	0.0800	Cases	3.39	26.0115	8.2939	81.5778	8.294-81.58	5.7e-12		18.9452	Panaroo/Bakta+GenBank		lamG	group_5471 | KPN_RS00045 | none confidence	molybdopterin adenylyltransferase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=36.36; coverage=1.37	KPN_RS00045	mog	molybdopterin adenylyltransferase	9316..9903	nucleotide_similarity	36.36	1.37	none	matched_representative_sequence=group_5471	AEOABF_05604;AHHNMN_05544;AHNHFK_05703;ANNNIK_05701;BEDDGA_05752;BGGBBI_05333;BLCKKP_05753;CBCBPB_02210;CHCLDJ_05715;CPJPGI_05830;DGLKOJ_05684;EKPLKB_05438;EOIIEI_05415;FIIMIJ_05869;FMDNFB_05586;FPBJNE_05516;FPPMFH_05460;GOALEL_05406;HBAILA_05829;HBKCOO_05692;IBBJOJ_05547;IECKKB_05544;JGNJAB_05635;JJNMLC_05618;JMFOKH_05564;KKELHE_05742;KNNKAF_05545;LBJLPI_05593;LEGHFF_05520;LGDJCA_05474
16	group_5096	gene_presence_absence	iclR	Ead/Ea22-like family protein	36	50	0.7200	4	50	0.0800	Cases	3.39	26.0115	8.2939	81.5778	8.294-81.58	5.7e-12		18.9452	Panaroo/Bakta+GenBank		iclR	group_5096 | KPN_RS23680 | none confidence	glyoxylate bypass operon transcriptionalrepressor IclR	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=32.26; coverage=1.78	KPN_RS23680	iclR	glyoxylate bypass operon transcriptionalrepressor IclR	complement(4812369..4813199)	nucleotide_similarity	32.26	1.78	none	matched_representative_sequence=group_5096	AEOABF_00917;AHHNMN_00520;AHNHFK_01926;ANNNIK_00776;BEDDGA_00657;BGGBBI_00341;BLCKKP_04429;CBCBPB_02164;CHCLDJ_00544;CPJPGI_01558;DGLKOJ_00781;EKPLKB_01610;EOIIEI_01655;FIIMIJ_00383;FMDNFB_01291;FPBJNE_04644;FPPMFH_01002;GOALEL_04537;HBAILA_00882;HBKCOO_01420;IBBJOJ_01599;IECKKB_01061;JGNJAB_01572;JJNMLC_01053;JMFOKH_02185;KKELHE_01685;KNNKAF_00544;LBJLPI_01212;LEGHFF_04604;LGDJCA_01093
17	group_3125	gene_presence_absence	group_3125	hypothetical protein	36	50	0.7200	4	50	0.0800	Cases	3.39	26.0115	8.2939	81.5778	8.294-81.58	5.7e-12		18.9452	Panaroo/Bakta+GenBank		group_3125	group_3125 | KPN_RS32615 | none confidence	hypothetical protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=22.51; coverage=2.41	KPN_RS32615		hypothetical protein	complement(308136..308372)	nucleotide_similarity	22.51	2.41	none	matched_representative_sequence=group_3125	AEOABF_02480;AHHNMN_02072;AHNHFK_03205;ANNNIK_05184;BEDDGA_02387;BLCKKP_02512;CHCLDJ_04601;CPJPGI_04384;DGLKOJ_03700;EKPLKB_03056;EOIIEI_03766;FIIMIJ_05299;FMDNFB_00982;FPBJNE_01692;FPPMFH_01839;GCNAEO_05125;GOALEL_02229;HBAILA_02469;HBKCOO_02015;IBBJOJ_02481;IECKKB_02021;JGNJAB_02329;JJNMLC_02821;JMFOKH_02952;KKELHE_05385;KNNKAF_02815;LBJLPI_04995;LEGHFF_01010;LGDJCA_01500;MDEGCH_03284
18	pemI	gene_presence_absence	pemI	type II toxin-antitoxin system antitoxin PemI	0	50	0.0000	24	50	0.4800	Controls	-4.54	0.0107092	0.000626197	0.18315	0.0006262-0.1831	4.51e-10		18.8908	Panaroo/Bakta+GenBank		pemI	pemI | KPN_RS12945 | none confidence	RpiB/LacA/LacB family sugar-phosphate isomerase	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=34.34; coverage=5.81	KPN_RS12945		RpiB/LacA/LacB family sugar-phosphate isomerase	complement(2627909..2628547)	nucleotide_similarity	34.34	5.81	none	matched_representative_sequence=pemI	AIJMHO_04732;BMDOOG_04810;CCKLPP_04825;DDIAJH_05414;EANECB_05558;EDGMEC_05567;FFLFOK_04625;FLEPEF_04811;HABJKE_04725;HFMEMF_05425;IKNKDK_05466;JEGCDC_05444;KAFEBA_05372;KKNIEC_05507;KLPANJ_05548;KPDGKM_05572;LBJLPI_04383;MBNFKH_05525;MJEKEA_05554;OCFBPG_05473;OCGJJJ_05632;OHBKLB_04244;PKAHKO_05512;PMCEMD_05471
19	group_7106	gene_presence_absence	mog	mRNA interferase	0	50	0.0000	24	50	0.4800	Controls	-4.54	0.0107092	0.000626197	0.18315	0.0006262-0.1831	4.51e-10		18.8908	Panaroo/Bakta+GenBank		mog	group_7106 | KPN_RS00045 | none confidence	molybdopterin adenylyltransferase	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=40.61; coverage=3.00	KPN_RS00045	mog	molybdopterin adenylyltransferase	9316..9903	nucleotide_similarity	40.61	3.00	none	matched_representative_sequence=group_7106	AIJMHO_04731;BMDOOG_04809;CCKLPP_04826;DDIAJH_05413;EANECB_05557;EDGMEC_05568;FFLFOK_04624;FLEPEF_04812;HABJKE_04724;HFMEMF_05426;IKNKDK_05465;JEGCDC_05445;KAFEBA_05373;KKNIEC_05508;KLPANJ_05549;KPDGKM_05571;LBJLPI_04382;MBNFKH_05526;MJEKEA_05555;OCFBPG_05472;OCGJJJ_05633;OHBKLB_04245;PKAHKO_05513;PMCEMD_05472
20	group_176	gene_presence_absence	group_176	Uncharacterized protein;hypothetical protein	0	50	0.0000	24	50	0.4800	Controls	-4.54	0.0107092	0.000626197	0.18315	0.0006262-0.1831	4.51e-10		18.8908	Panaroo/Bakta+GenBank		group_176	group_176 | KPN_RS17500 | none confidence	sugar porter family MFS transporter	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=99.72; coverage=32.63	KPN_RS17500		sugar porter family MFS transporter	complement(3583569..3584990)	nucleotide_similarity	99.72	32.63	none	matched_representative_sequence=group_1767	AIJMHO_04733;BMDOOG_04811;CCKLPP_04824;DDIAJH_05415;EANECB_05559;EDGMEC_05566;FFLFOK_04626;FLEPEF_04810;HABJKE_04726;HFMEMF_05424;IKNKDK_05467;JEGCDC_05443;KAFEBA_05371;KKNIEC_05506;KLPANJ_05547;KPDGKM_05573;LBJLPI_04384;MBNFKH_05524;MJEKEA_05553;OCFBPG_05474;OCGJJJ_05631;OHBKLB_04243;PKAHKO_05511;PMCEMD_05470
21	group_3603	gene_presence_absence	group_3603	Phage protein	40	50	0.8000	7	50	0.1400	Cases	3.2	22.3714	7.98541	62.6744	7.985-62.67	4.88e-12		18.7952	Panaroo/Bakta+GenBank		group_3603	group_3603 | KPN_RS02695 | none confidence	Gfo/Idh/MocA family protein	No confident reference gene assignment; report the stable Panaroo cluster ID.	identity=31.37; coverage=4.64	KPN_RS02695		Gfo/Idh/MocA family protein	556830..557861	nucleotide_similarity	31.37	4.64	none	matched_representative_sequence=group_3603	AEOABF_00105;AHHNMN_00105;AHNHFK_03001;ANNNIK_02143;BEDDGA_00232;BGGBBI_03099;BLCKKP_00105;CBCBPB_05484;CHCLDJ_00105;CPJPGI_00840;DGLKOJ_01163;DMJFLM_03271;EKPLKB_05236;EOIIEI_01254;FIIMIJ_00106;FMDNFB_00108;FPBJNE_01284;FPPMFH_00633;GCNAEO_00373;GNFDFK_04180;HBAILA_03160;HBKCOO_00105;IBBJOJ_00880;IECKKB_00105;IKDFAP_03172;JGNJAB_03234;JMFOKH_01466;JMKDJN_01835;KKELHE_00800;KNNKAF_00399
22	group_2991	gene_presence_absence	rpsT	30S ribosomal protein S20	40	50	0.8000	7	50	0.1400	Cases	3.2	22.3714	7.98541	62.6744	7.985-62.67	4.88e-12		18.7952	Panaroo/Bakta+GenBank		rpsT	group_2991 | KPN_RS00095 | none confidence	30S ribosomal protein S20	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=37.09; coverage=5.19	KPN_RS00095	rpsT	30S ribosomal protein S20	complement(19173..19436)	nucleotide_similarity	37.09	5.19	none	matched_representative_sequence=group_2991	AEOABF_00096;AHHNMN_00096;AHNHFK_03010;ANNNIK_02134;BEDDGA_00241;BGGBBI_03108;BLCKKP_00096;CBCBPB_05493;CHCLDJ_00096;CPJPGI_00849;DGLKOJ_01154;DMJFLM_03278;EKPLKB_05245;EOIIEI_01263;FIIMIJ_00097;FMDNFB_00099;FPBJNE_01293;FPPMFH_00624;GCNAEO_00382;GNFDFK_04176;HBAILA_03151;HBKCOO_00096;IBBJOJ_00889;IECKKB_00096;IKDFAP_03179;JGNJAB_03243;JMFOKH_01475;JMKDJN_01842;KKELHE_00809;KNNKAF_00408
23	group_4120	gene_presence_absence	rpsT	DUF2474 domain-containing protein;hypothetical protein	42	50	0.8400	9	50	0.1800	Cases	3.17	21.8421	7.88044	60.5395	7.88-60.54	5.55e-12		18.7047	Panaroo/Bakta+GenBank		rpsT	group_4120 | KPN_RS00095 | none confidence	30S ribosomal protein S20	Displayed from Panaroo/Bakta annotation; no stronger GenBank rescue available.	identity=41.06; coverage=4.23	KPN_RS00095	rpsT	30S ribosomal protein S20	complement(19173..19436)	nucleotide_similarity	41.06	4.23	none	matched_representative_sequence=group_4120	AENLJA_03579;AEOABF_00927;AHHNMN_00530;AHNHFK_01936;AIJMHO_05103;ANNNIK_00766;BEDDGA_00667;BGGBBI_00351;BLCKKP_04419;CBCBPB_02154;CCKLPP_05120;CHCLDJ_00554;CPJPGI_01548;DGLKOJ_00791;EKPLKB_01620;EOIIEI_01665;FIIMIJ_00393;FLEPEF_05177;FMDNFB_01301;FPBJNE_04654;FPPMFH_01012;GNFDFK_02124;GOALEL_04527;HBAILA_00892;HBKCOO_01410;IBBJOJ_01589;IECKKB_01051;IILOJN_02200;JGNJAB_01582;JJNMLC_01043
